Auteur,Titre,Edition,ISBN,Epaisseur en mm
Platon,La République,Folio essais,978-2-07-032804-8,27  
Homer,L'Iliade et l'Odyssée,,,
Sophocle,Œdipe roi,,,
Virgile,L'Énéide,,,
Dante Alighieri,La Divine Comédie,,,
Miguel de Cervantes,Don Quichotte,,,
William Shakespeare,Hamlet / Roméo et Juliette / Othello,,,
Lao-Tseu,Tao Te Ching,,,
Jonathan Swift,Les Voyages de Gulliver,,,
Voltaire,Candide,,,
René Descartes,Le discours de la méthode,,,
Jean-Jacques Rousseau,Les Confessions,,,
Pascal,Pensées,,,
Johann Wolfgang von Goethe,Faust,,,
Mary Shelley,Frankenstein,,,
Victor Hugo,Les Misérables / Quatrevingt-treize / Ruy Blas,,,
Nietzche,Ainsi parlait Zarathoustra,,,
Fiodor Dostoïevski,Crime et Châtiment,,,
Léon Tolstoï,Guerre et Paix,,,
Emily Brontë,Les Hauts de Hurlevent,,,
Herman Melville,Moby Dick,,,
Gustave Flaubert,Madame Bovary / Bel ami /,,,
Mark Twain,Les Aventures de Huckleberry Finn,,,
Marcel Proust,À l'ombre des jeunes filles en fleurs,,,
Franz Kafka,Le Procès,,,
James Joyce,Ulysse,,,
Louis Ferdinand Céline,Le voyage au bout de la nuit,,,
George Orwell,1984,,,
Aldous Huxley,Le meilleur des mondes / la philosophia perennis,,,
Albert Camus,L'Étranger,,,
Gabriel García Márquez,Cent ans de solitude,,,
Harper Lee,Ne tirez pas sur l'oiseau moqueur,,,
Le petit prince,Antoine de Saint Exupéry,,,
Milan Kundera,L'Insoutenable Légèreté de l'être,,,
J.R.R. Tolkien,Le Seigneur des Anneaux,,,
Margaret Atwood,La Servante écarlate,,,
Umberto Eco,Le Nom de la rose / Le pendule de Foucault,,,
Paulo Coelho,L'Alchimiste,,,
Fyodor Dostoevsky ,Les Frères Karamazov,,,
Simone de Beauvoir,Le Deuxième Sexe,,,
Jean-Paul Sartre,La Nausée / Les mots / L’existentialisme est un humanisme,,,
Ernest Hemingway,Le Vieil Homme et la mer / Pour qui sonne le glas,,,
Vladimir Nabokov,Lolita,,,
